NroInstrumento;LinkExterno;Modalidade;ValorDoInstrumento;IngressoDeContrapartida;AcaoOrçamentaria;Objeto;NomeProponente;Estado;CNPJ;SituacaoInstrumento;DataFimDeVigenciaConv;NroProcesso;NroDaEmenda
915267;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1663689&Usr=guest&Pwd=guest;TERMO DE FOMENTO;;0;2E870023;Campanhas de conscientização para a população de tutores de animais, bem como ações de saúde e resgate de animais em situação de rua no Município de Icó.;APACI - ASSOCIACAO DE PROTECAO AOS ANIMAIS CARENTES DE ICO;;21.261.609/0001-94;Prestação de Contas enviada para Análise;2022-12-27;02000.002743/2021-80;41380019
922859;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1724588&Usr=guest&Pwd=guest;CONVENIO;;0;2E870031;Apoiar a modernização da estrutura móvel de atendimento veterinários para esterilização, saúde e bem-estar animal;CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DO VALE DO PARAIBUNA - CIMPAR;;21.565.740/0001-45;Aguardando Prestação de Contas;2022-12-31;02000.002456/2021-70;14080007
921116;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1664034&Usr=guest&Pwd=guest;TERMO DE FOMENTO;;0;2E873193;ADQUIRIR ALIMENTOS E MEDICAMENTOS PARA CÃES E GATOS RESGATADOS VIZANDO O CONTROLE DE ZOONOSES.;ASORIPA ASSOCIACAO RIO-BRANQUENSE DE PROTECAO AOS ANIMAIS;;03.784.082/0001-09;Aguardando Prestação de Contas;2022-12-31;02000.002595/2021-00;40640023
918984;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1700435&Usr=guest&Pwd=guest;CONVENIO;;0;2E870035;Estruturação das atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos.;MUNICIPIO DE JABOTICABAL;;50.387.844/0001-05;Aguardando Prestação de Contas;2022-12-31;02000.005448/2021-80;28150003
917822;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1663666&Usr=guest&Pwd=guest;TERMO DE FOMENTO;;0;2E870023;Qualificação de estrutura para cuidado da saúde e controle da população animal através de cuidado veterinário na Vila de Jericoacoara.;ASSOCIACAO PROTETORA DOS ANIMAIS JERI SOBRE PATAS;;21.928.837/0001-75;Prestação de Contas enviada para Análise;2022-12-31;02000.002665/2021-10;41380019
915395;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1656607&Usr=guest&Pwd=guest;CONVENIO;;5000.00;2E870015;Estruturação das atividades de saúde e bem estar animal, incluindo o controle populacional de cães e gatos.;MUNICIPIO DE CAPANEMA;;05.149.091/0001-45;Prestação de Contas enviada para Análise;2022-12-31;02000.002471/2021-10;39720002
914149;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1659260&Usr=guest&Pwd=guest;CONVENIO;;641.3;2E870025;Estruturação das atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos;MUNICIPIO DE SAO BENTO;;09.069.709/0001-18;Prestação de Contas enviada para Análise;2023-02-28;02000.002619/2021-10;37390015
913448;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1658593&Usr=guest&Pwd=guest;TERMO DE FOMENTO;;0;2E870024;Contribuir para o controle populacional dos animais de rua através de atendimento médico veterinário, exames e castração de cães e gatos vítimas de maus-tratos e abandono no município de Caicó/RN.;ASSOCIACAO CAICOENSE DE PROTECAO AOS ANIMAIS E MEIO AMBIENTE ACAPAM;;20.326.345/0001-47;Aguardando Prestação de Contas;2023-03-28;02000.002624/2021-20;37420006
915397;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1657516&Usr=guest&Pwd=guest;CONVENIO;;14400.00;2E870015;Estruturação das atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos.;MUNICIPIO DE BRAGANCA;;04.873.592/0001-07;Aguardando Prestação de Contas;2023-03-31;02000.002465/2021-60;39720002
915221;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1660632&Usr=guest&Pwd=guest;CONVENIO;;88000.00;2E870043;Estruturação das atividades de saúde e bem-estar animal, incluindo o controle populacional de cães e gatos.;MUNICIPIO DE PORTO ALEGRE;;92.963.560/0001-60;Prestação de Contas Iniciada Por Antecipação;2023-04-25;02000.002524/2021-00;39200010
913553;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1661428&Usr=guest&Pwd=guest;CONVENIO;182584.00;2584.00;2E872127;Contribuir para o controle da população de animais em situações excepcionais, no Município de Itororó-BA.;MUNICIPIO DE ITORORO;BA;13.752.993/0001-08;Em execução;2023-05-10;02000.002472/2021-60;37520007
915271;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1661176&Usr=guest&Pwd=guest;CONVENIO;250000.00;0;2E870052;Estruturação das atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos.;MUNICIPIO DE GOIANIA;GO;01.612.092/0001-23;Em execução;2023-05-19;02000.002477/2021-90;39740017
915460;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1658265&Usr=guest&Pwd=guest;CONVENIO;258000.00;3000.00;2E870032;Estruturação das atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos.;MUNICIPIO DE CACHOEIRO DE ITAPEMIRIM;ES;27.165.588/0001-90;Em execução;2023-05-26;02000.002601/2021-10;30930008
919202;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1702322&Usr=guest&Pwd=guest;CONVENIO;101500.00;1500.00;2E870035;Estruturação das atividades de saúde e bem estar animal, incluído o controle populacional de cães e gatos no município de Taquaritinga/SP.;MUNICIPIO DE TAQUARITINGA;SP;72.130.818/0001-30;Em execução;2023-06-08;02000.005407/2021-90;28150003
919201;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1701269&Usr=guest&Pwd=guest;CONVENIO;121960.00;20500.00;2E870035;Estruturação do Programa de controle populacional e provimento de bem estar animal por meio de implantação de projeto de esterilização de cães e gatos do município de Itapira.;MUNICIPIO DE ITAPIRA;SP;45.281.144/0001-00;Em execução;2023-06-10;02000.005463/2021-20;28150003
919196;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1661502&Usr=guest&Pwd=guest;CONVENIO;175000.00;10000.10;2E870035;Estruturação das atividades de saúde e bem-estar animal, incluindo o controle populacional de cães e gatos;MUNICIPIO DE CAPAO BONITO;SP;46.634.259/0001-95;Em execução;2023-06-10;02000.002557/2021-40;28010009
915577;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1656565&Usr=guest&Pwd=guest;CONVENIO;225000.00;250;2E870033;Estruturação das atividades de saúde e bem estar animal, incluindo o controle populacional de cães e gatos.;MUNICIPIO DE CANTAGALO;RJ;28.645.794/0001-60;Em execução;2023-06-10;02000.002668/2021-50;41580003
915316;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1658655&Usr=guest&Pwd=guest;CONVENIO;208000.00;0;2E870043;Estruturação das atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos no município de Santa Vitória do Palmar.;MUNICIPIO DE SANTA VITORIA DO PALMAR;RS;88.824.099/0001-97;Em execução;2023-06-10;02000.002655/2021-80;40730006
919235;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1663687&Usr=guest&Pwd=guest;CONVENIO;261000.00;1000.00;2E870026;Estruturação das atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos.;MUNICIPIO DE CAMARAGIBE;PE;08.260.663/0001-57;Em execução;2023-06-16;02000.002600/2021-70;30800002
915342;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1662420&Usr=guest&Pwd=guest;TERMO DE FOMENTO;199758.22;0;2E870023;Fortalecimento dos cuidados e controle populacional dos animais em situação de rua no Município de Fortaleza-CE.;ORGANIZACAO NAO GOVERNAMENTAL SAO LAZARO - APOIO AO ANIMAL CARENTE;CE;13.043.465/0001-71;Em execução;2023-06-16;02000.002680/2021-60;39360001
915399;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1661805&Usr=guest&Pwd=guest;TERMO DE FOMENTO;150000.00;0;2E870023;Ações de controle populacional e atenção veterinária à cães e gatos vulneráveis ou em situação de rua na Região Metropolitana do Cariri Cearense. Nesse Projeto Piloto serão contempladas as cidades de Crato, Juazeiro do Norte e Barbalha (CRAJUBAR) e servirá de referência para futuras ações que visam abranger todo o Cariri Cearense que é composto por 29 cidades.;INSTITUTO PET SOCIAL PATINHAS DE RUA;CE;27.848.230/0001-61;Em execução;2023-06-17;02000.002532/2021-40;39360001
919933;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1719004&Usr=guest&Pwd=guest;CONVENIO;252526.00;2526.00;2E870031;Estruturação das atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos.;MUNICIPIO DE ITAJUBA;MG;18.025.940/0001-09;Em execução;2023-06-20;02000.002632/2021-70;27550007
919437;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1701454&Usr=guest&Pwd=guest;CONVENIO;101000.00;1000.00;2E870035;Estruturação das atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos.;MUNICIPIO DE GUARARAPES;SP;48.468.284/0001-71;Em execução;2023-06-20;02000.005430/2021-80;28150003
919610;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1663271&Usr=guest&Pwd=guest;CONVENIO;182000.00;0;2E870031;Estruturação das atividades de saúde e bem-estar animal, incluindo o controle populacional de cães e gatos.;MUNICIPIO DE SANTA VITORIA;MG;18.457.226/0001-81;Em execução;2023-06-27;02000.002744/2021-20;39900001
914640;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1658652&Usr=guest&Pwd=guest;CONVENIO;189816.00;19816.67;2E871041;Controle populacional de animais errantes e pertencentes a moradores de baixa renda a fim de aumentar a qualidade de vida dos moradores através da Ampliação do Centro de Controle de Zoonoses da Prefeitura de São João da Barra- RJ.;MUNICIPIO DE SAO JOAO DA BARRA;RJ;29.116.902/0001-70;Em execução;2023-06-27;02000.002476/2021-40;37650002
914282;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1661754&Usr=guest&Pwd=guest;CONVENIO;179900.00;9900.00;2E870033;Contribuir para o Controle da População de animais em Situações Excepcionais;MUNICIPIO DE CACHOEIRAS DE MACACU;RJ;29.128.766/0001-38;Em execução;2023-06-27;02000.002515/2021-10;37650002
918804;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1697260&Usr=guest&Pwd=guest;CONVENIO;345160.00;3750.00;2E870032;Estruturação das atividades de saúde e bem-estar animal, incluindo o controle populacional de cães e gatos.;MUNICIPIO DE VILA VELHA;ES;27.165.554/0001-03;Em execução;2023-07-01;02000.002488/2021-70;14180009
915456;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1662470&Usr=guest&Pwd=guest;CONVENIO;196600.00;28104.00;2E870043;Estruturação das atividades de saúde e bem-estar animal, incluído ocontrole populacional de cães e gatos, por meio da aquisição de Unidade Móvel de Esterilização e Educação em Saúde (UMEES).;MUNICIPIO DE CAXIAS DO SUL;RS;88.830.609/0001-39;Em execução;2023-07-01;02000.002581/2021-80;28630006
915433;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1658658&Usr=guest&Pwd=guest;CONVENIO;208000.00;0;2E870043;Estruturação das atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos no município de Santa Vitória do Palmar.;MUNICIPIO DE SANTA VITORIA DO PALMAR;RS;88.824.099/0001-97;Em execução;2023-07-01;02000.002629/2021-50;28580007
915272;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1663447&Usr=guest&Pwd=guest;CONVENIO;216460.00;36460.00;2E870043;Estruturação de atividades e conscientização de saúde, bem-estar animal e controle populacional de cães e gatos.;MUNICIPIO DE SOBRADINHO;RS;87.592.861/0001-94;Em execução;2023-08-10;02000.002676/2021-00;41680007
929254;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1748346&Usr=guest&Pwd=guest;TERMO DE FOMENTO;100000.00;0;1,04E+91;Contribuir para a melhoraria dos serviços de atenção veterinária de animais em situações excepcionais ou de vulnerabilidade.;INSTITUTO PET SOCIAL PATINHAS DE RUA;CE;27.848.230/0001-61;Em execução;2023-08-21;02000.001768/2022-40;39360003
913713;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1658639&Usr=guest&Pwd=guest;TERMO DE FOMENTO;100000.00;0;2E870024;Contribuir para o controle populacional dos animais de rua através de atendimento, castração e alimentação de cães e gatos vítimas de maus-tratos e abandono na região metropolitana de Natal e Parnamirim/RN.;ORGANIZACAO NAO GOVERNAMENTAL PATAMADA;RN;12.273.307/0001-45;Em execução;2023-08-31;02000.002623/2021-80;37420006
915418;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1662267&Usr=guest&Pwd=guest;TERMO DE FOMENTO;606000.00;0;2E870033;Implementar, o “PROJETO CARVANA PET” de modo a contribuir para o controle populacional de cães e gatos, bem como o controle de zoonoses, mediante ações de castrações em unidade de Castramóvel em municípios do estado do Rio de Janeiro.;ASSOCIACAO CASA DO PAI - P.A.I;RJ;08.913.297/0001-98;Em execução;2023-09-10;02000.002588/2021-00;39810006
914653;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1659708&Usr=guest&Pwd=guest;CONVENIO;255190.48;5190.48;2E873410;Controle de População de Cães e Gatos no Município de Arujá.;MUNICIPIO DE ARUJA;SP;56.901.275/0001-50;Em execução;2023-09-10;02000.002545/2021-10;25320008
915425;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1663103&Usr=guest&Pwd=guest;CONVENIO;196101.30;16101.30;2E870043;Aprimoramento das atividades de saúde e bem-estar animal, com enfoque no controle populacional de cães e gatos no Município de Lajeado/RS.;MUNICIPIO DE LAJEADO;RS;87.297.982/0001-03;Em execução;2023-10-01;02000.002628/2021-10;28580007
928856;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1745997&Usr=guest&Pwd=guest;TERMO DE FOMENTO;250000.00;0;1,04E+91;Ações de atenção veterinária e controle populacional de cães em situação de rua, abandonados ou de lares carentes na região metropolitana de Curitiba;ASSOCIACAO PROJETO AJUDEI;PR;29.284.022/0001-02;Em execução;2023-10-03;02000.001787/2022-70;39150005
930148;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1750188&Usr=guest&Pwd=guest;CONVENIO;256716.09;0;1,04E+91;Estruturação das atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos.;MUNICIPIO DE LIMOEIRO DO NORTE;CE;07.891.674/0001-72;Em execução;2023-10-14;02000.001731/2022-10;27000010
930158;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1748472&Usr=guest&Pwd=guest;CONVENIO;351000.00;0;1,04E+91;Aquisição de veículo reboque com a finalidade de funcionamento de serviço médico veterinário móvel (castramóvel), para estruturação das atividades de saúde e bem-estar animal, incluindo o controle populacional de cães e gatos.;MUNICIPIO DE MARIALVA;PR;76.282.680/0001-45;Em execução;2023-11-09;02000.001766/2022-50;40660008
915411;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1660175&Usr=guest&Pwd=guest;CONVENIO;1800.00;83324.45;2E870035;Estruturação das atividades de saúde e bem-estar animal, incluída a aquisição de veículo reboque para tração de unidade móvel de Esterilização (Castramóvel) pertencente ao município, objetivando a contribuição no controle populacional de cães e gatos consoante com a Lei Municipal nº 11755, que institui o Programa de controle de animais domésticos no Município de Ribeirão Preto/SP.;MUNICIPIO DE RIBEIRAO PRETO;RJ;56.024.581/0001-56;Prestação de Contas Iniciada Por Antecipação;2023-11-10;02000.002536/2021-20;39550013
915409;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1660886&Usr=guest&Pwd=guest;CONVENIO;198400.00;30000.00;2E870033;Estruturação de atividades de saúde e bem-estar animal, incluído o controle populacional de cães e gatos em situação de rua e vulneráveis no município de Conceição de Macabu/RJ.;MUNICIPIO DE CONCEICAO DE MACABU;RJ;29.115.466/0001-14;Em execução;2023-11-10;02000.002551/2021-70;27780010
915346;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1656992&Usr=guest&Pwd=guest;CONVENIO;196333.00;48550.00;2E870033;Estruturação das atividades de saúde e bem esta animal, incluído o controle população de cães e gatos.;MUNICIPIO DE SAO SEBASTIAO DO ALTO;PB;28.645.786/0001-13;Em execução;2023-11-10;02000.002549/2021-00;27780010
915315;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1658290&Usr=guest&Pwd=guest;CONVENIO;189000.00;56333.00;2E870025;Estruturação das Atividades de Saúde e Bem estar animal, incluído o controle populacional de cães e gatos.;MUNICIPIO DE JOAO PESSOA;RJ;08.778.326/0001-56;Em execução;2023-11-10;02000.002539/2021-60;39690009
914646;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1660087&Usr=guest&Pwd=guest;CONVENIO;351000.00;19000.00;2E870033;Equipar o município para contribuir para o controle de zoonoses e controle populacional de cães e gatos.;MUNICIPIO DE VOLTA REDONDA;AC;32.512.501/0001-43;Em execução;2023-11-10;02000.002519/2021-90;37650002
914578;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=1661772&Usr=guest&Pwd=guest;CONVENIO;174333.33;1000.00;2E870012;Estruturação das atividades de saúde e bem-estar animal, com enfoque no controle populacional de cães e gatos no Município de Rio Branco/AC;MUNICIPIO DE RIO BRANCO;CE;04.034.583/0001-22;Em execução;2023-11-10;02000.002494/2021-20;24240007
